deal_source_ca,amount_in_company_currency_mean,amount_in_company_currency_median,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_median,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_median,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_median,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
ASI Connect,1405.13,1339.20,3388.50,175.00,19671.78,822.05,141.36,110.00,450.00,0.00,1979.00,124.29,424.51,401.88,1188.72,3.60,5943.12,293.69,0.72,0.70,0.98,0.64,10.12,0.08
Client Referral,2776.53,1600.00,137620.00,0.00,4398019.95,5207.51,357.58,150.00,20000.00,0.00,566406.00,793.02,822.53,423.36,32000.00,3.60,1302889.72,1531.73,0.69,0.70,0.98,-2.40,1093.40,0.11
CommonSku,1982.64,1268.69,14352.00,0.00,271621.11,2248.05,217.84,120.00,2400.00,0.00,29844.00,314.76,592.41,373.56,4148.64,91.52,81159.62,628.73,0.68,0.70,0.83,0.00,93.09,0.12
Direct Traffic,2725.87,1744.54,27510.00,0.00,1643696.76,3036.86,247.52,120.00,5250.00,0.00,149255.00,394.68,629.79,373.56,8218.08,3.60,379764.81,720.70,0.72,0.77,0.98,-10.32,437.04,0.59
ESP Central,2211.40,1050.00,18278.00,409.20,53073.54,3646.14,275.50,120.00,2600.00,30.00,6612.00,521.47,718.96,326.04,6128.64,152.64,17255.04,1225.57,0.67,0.67,0.76,0.61,16.17,0.04
Email Marketing,2617.89,1520.40,27841.20,0.00,2057661.32,3428.31,280.51,120.00,4000.00,0.00,220479.00,462.77,684.94,390.96,10773.60,1.80,538364.08,907.36,0.72,0.72,0.89,0.00,562.85,0.09
Event Longer Than 1 Year Ago,2143.46,1440.00,52239.00,0.00,1151038.74,2944.61,255.24,150.00,10000.00,0.00,137064.00,510.06,630.07,423.36,15230.40,122.88,338349.53,853.09,0.70,0.70,0.89,0.00,373.60,0.07
Event in the Past Year,2608.76,1440.00,36100.00,0.00,1505252.34,3698.67,326.10,150.00,6150.00,0.00,188158.00,583.35,786.57,407.52,13442.88,91.52,453851.20,1233.74,0.68,0.70,0.84,-0.68,395.22,0.12
Graze,1768.11,1768.11,1768.11,1768.11,1768.11,,120.00,120.00,120.00,120.00,120.00,,294.36,294.36,294.36,294.36,294.36,,0.83,0.83,0.83,0.83,0.83,
Intake,2069.99,1520.40,12222.00,0.00,335338.59,1929.83,181.95,120.00,1400.00,0.00,29476.00,232.68,484.06,327.66,2846.16,122.88,78417.42,466.63,0.75,0.78,0.85,0.00,121.79,0.14
LinkedIn,1191.98,917.40,3877.20,0.00,14303.70,1216.68,103.33,60.00,360.00,0.00,1240.00,115.47,326.06,222.48,729.12,152.64,3912.72,206.52,0.59,0.78,0.85,0.00,7.09,0.36
Live Chat,2908.00,2908.00,2908.00,2908.00,2908.00,,200.00,200.00,200.00,200.00,200.00,,864.00,864.00,864.00,864.00,864.00,,0.70,0.70,0.70,0.70,0.70,
Offline Sources,616.20,616.20,616.20,616.20,616.20,,60.00,60.00,60.00,60.00,60.00,,184.32,184.32,184.32,184.32,184.32,,0.70,0.70,0.70,0.70,0.70,
